fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,1,SPHSUR,0.373055,0.530311,0.774487,0.7825,0.2175,0.001,30.47
1,2,SPHSUR,0.189335,0.177203,0.937964,0.938,0.062,0.001,29.64
1,3,SPHSUR,0.149525,0.15226,0.942993,0.943,0.057,0.001,29.59
1,4,SPHSUR,0.131203,0.178608,0.942465,0.9425,0.0575,0.001,29.61
1,5,SPHSUR,0.126317,0.173677,0.940966,0.941,0.059,0.001,29.59
1,6,SPHSUR,0.125465,0.216162,0.920685,0.921,0.079,0.001,29.59
1,7,SPHSUR,0.116439,0.223584,0.924382,0.9245,0.0755,0.001,29.6
1,8,SPHSUR,0.113001,0.148943,0.9415,0.9415,0.0585,0.001,29.63
1,9,SPHSUR,0.103764,0.161067,0.936986,0.937,0.063,0.001,29.61
1,10,SPHSUR,0.107335,0.146502,0.946979,0.947,0.053,0.001,29.61
1,11,SPHSUR,0.103012,0.133696,0.947,0.947,0.053,0.001,29.62
1,12,SPHSUR,0.0978,0.174439,0.943987,0.944,0.056,0.001,29.64
1,13,SPHSUR,0.094962,0.16082,0.9505,0.9505,0.0495,0.001,29.62
1,14,SPHSUR,0.09646,0.157169,0.936872,0.937,0.063,0.001,29.63
1,15,SPHSUR,0.088356,0.15275,0.947993,0.948,0.052,0.001,29.62
1,16,SPHSUR,0.082391,0.163845,0.935404,0.9355,0.0645,0.001,29.64
1,17,SPHSUR,0.083406,0.156148,0.945499,0.9455,0.0545,0.001,29.61
1,18,SPHSUR,0.073689,0.138425,0.956492,0.9565,0.0435,0.001,29.61
1,19,SPHSUR,0.073635,0.1461,0.945494,0.9455,0.0545,0.001,29.61
1,20,SPHSUR,0.076058,0.51049,0.770326,0.784,0.216,0.001,29.61
1,21,SPHSUR,0.070123,0.140288,0.947414,0.9475,0.0525,0.001,29.61
1,22,SPHSUR,0.067307,0.136136,0.951,0.951,0.049,0.001,29.61
1,23,SPHSUR,0.061901,0.132865,0.9535,0.9535,0.0465,0.001,29.63
1,24,SPHSUR,0.060207,0.140909,0.949966,0.95,0.05,0.001,29.63
1,25,SPHSUR,0.067036,0.157593,0.943,0.943,0.057,0.001,29.62
1,26,SPHSUR,0.060336,0.128556,0.953457,0.9535,0.0465,0.001,29.7
1,27,SPHSUR,0.051098,0.15053,0.949421,0.9495,0.0505,0.00075,29.64
