fold,class,precision,recall,f1,support
1,SPHSUR,0.9681592039800995,0.9455782312925171,0.9567354965585054,1029
1,BOABIS,0.9441248972884141,0.9527363184079602,0.9484110606685927,1206
1,BOAFAB,0.9934980494148244,0.9928525016244314,0.9931751706207345,1539
1,DENMIN,0.9664179104477612,0.9955156950672646,0.9807510255601136,1561
1,LEPPOD,0.9847328244274809,0.9891373801916933,0.9869301880777813,1565
2,SPHSUR,0.9684729064039409,0.9627815866797258,0.9656188605108055,1021
2,BOABIS,0.9729043183742591,0.9441248972884141,0.9582985821517932,1217
2,BOAFAB,0.9859154929577465,0.9993510707332901,0.9925878182404125,1541
2,DENMIN,0.9774774774774775,0.9844458846403111,0.9809493057797869,1543
2,LEPPOD,0.9862114248194354,0.9933862433862434,0.9897858319604613,1512
3,SPHSUR,0.97002997002997,0.9482421875,0.9590123456790124,1024
3,BOABIS,0.9426957223567393,0.9589490968801314,0.9507529507529507,1218
3,BOAFAB,0.9900199600798403,0.9979879275653923,0.9939879759519038,1491
3,DENMIN,0.9737179487179487,0.992161985630307,0.9828534454868975,1531
3,LEPPOD,0.9867591424968474,0.9961807765754297,0.9914475768134304,1571
4,SPHSUR,0.9515810276679841,0.9591633466135459,0.9553571428571429,1004
4,BOABIS,0.9204819277108434,0.9638351555929352,0.9416598192276089,1189
4,BOAFAB,0.9887714663143989,0.9993324432576769,0.9940239043824701,1498
4,DENMIN,0.9738154613466334,0.9898605830164765,0.9817724701445631,1578
4,LEPPOD,0.9917564996829423,0.9861286254728878,0.9889345558014543,1586
5,SPHSUR,0.9723046488625123,0.9723046488625123,0.9723046488625123,1011
5,BOABIS,0.8953313253012049,0.9786008230452675,0.935116004718836,1215
5,BOAFAB,0.991430454845089,0.9933949801849405,0.9924117452985813,1514
5,DENMIN,0.9711417816813049,0.9916720051249199,0.9812995245641838,1561
5,LEPPOD,0.9846938775510204,0.9942047649710238,0.9894264658763217,1553
