fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,1,,0.44515,0.373444,0.613004,0.719567,0.176,0.001,30.21
1,2,,0.274468,0.262843,0.829904,0.825056,0.1092,0.001,29.61
1,3,,0.209339,0.371341,0.715946,0.741696,0.1602,0.001,29.59
1,4,,0.170793,0.167181,0.897733,0.903053,0.0616,0.001,29.6
1,5,,0.14839,0.162485,0.900145,0.905159,0.0614,0.001,29.58
1,6,,0.136709,0.173571,0.895209,0.897845,0.0659,0.001,29.6
1,7,,0.122598,0.134036,0.918257,0.919771,0.0504,0.001,29.57
1,8,,0.10841,0.139497,0.920592,0.917745,0.0534,0.001,29.59
1,9,,0.106938,0.115255,0.934981,0.932324,0.0429,0.001,29.58
1,10,,0.100676,0.201998,0.897634,0.89317,0.0682,0.001,29.6
1,11,,0.096891,0.136988,0.913204,0.912698,0.0528,0.001,29.59
1,12,,0.09196,0.10986,0.93881,0.936653,0.0402,0.001,29.62
1,13,,0.087808,0.105008,0.940119,0.938606,0.0385,0.001,29.61
1,14,,0.088361,0.127874,0.924818,0.925553,0.0458,0.001,29.65
1,15,,0.082256,0.123016,0.924343,0.924343,0.0469,0.001,29.58
1,16,,0.08009,0.103454,0.942265,0.940687,0.0371,0.001,29.64
1,17,,0.079082,0.104022,0.943742,0.941605,0.0369,0.001,29.62
1,18,,0.076381,0.139845,0.91965,0.922408,0.0482,0.001,29.6
1,19,,0.074609,0.117529,0.938873,0.9375,0.0396,0.001,29.6
1,20,,0.07262,0.137964,0.92917,0.92727,0.0467,0.001,30.24
1,21,,0.071736,0.121613,0.934184,0.9319,0.0437,0.001,29.6
1,22,,0.068262,0.109287,0.941819,0.939661,0.0384,0.001,29.62
1,23,,0.065122,0.10239,0.943197,0.94095,0.0368,0.001,29.62
1,24,,0.067329,0.138321,0.932036,0.931498,0.0438,0.001,29.6
1,25,,0.06029,0.116474,0.93436,0.936632,0.0397,0.001,29.65
1,26,,0.062547,0.118001,0.937385,0.932706,0.0415,0.001,29.59
1,27,,0.061736,0.102816,0.946511,0.944283,0.0346,0.00075,29.62
1,28,,0.053934,0.100113,0.945797,0.943842,0.0347,0.00075,29.66
1,29,,0.050963,0.099098,0.946305,0.943578,0.0351,0.00075,29.6
1,30,,0.050484,0.108699,0.946579,0.942866,0.0362,0.00075,29.62
2,1,,0.374642,0.262107,0.838263,0.84655,0.1014,0.001,29.62
2,2,,0.243286,0.567094,0.581582,0.550885,0.2511,0.001,29.61
2,3,,0.196653,0.303047,0.813464,0.832384,0.1089,0.001,29.62
2,4,,0.164848,0.160909,0.899034,0.905171,0.0585,0.001,29.63
2,5,,0.149359,0.132192,0.922535,0.928537,0.0451,0.001,29.62
2,6,,0.137088,0.122911,0.927548,0.932122,0.0426,0.001,29.63
2,7,,0.127189,0.266643,0.839471,0.832419,0.0978,0.001,29.62
2,8,,0.121601,0.1343,0.919282,0.923385,0.0497,0.001,29.66
2,9,,0.113074,0.115452,0.932011,0.937123,0.0396,0.001,29.65
2,10,,0.109668,0.103074,0.933796,0.93757,0.0389,0.001,29.62
2,11,,0.09936,0.105726,0.940496,0.94209,0.0358,0.001,29.63
2,12,,0.095682,0.111212,0.936586,0.937258,0.0405,0.001,29.64
2,13,,0.088609,0.09825,0.942995,0.942467,0.0367,0.001,29.62
2,14,,0.089838,0.097936,0.940693,0.941834,0.0364,0.001,29.68
2,15,,0.086502,0.090004,0.947722,0.94846,0.0323,0.001,29.66
2,16,,0.084153,0.116528,0.925258,0.929178,0.0434,0.001,29.64
2,17,,0.077663,0.109541,0.940308,0.938888,0.0377,0.001,29.62
2,18,,0.074106,0.098844,0.942356,0.944121,0.0355,0.001,29.62
2,19,,0.075728,0.122167,0.935113,0.93104,0.0425,0.001,29.67
2,20,,0.070453,0.107397,0.936698,0.936232,0.0393,0.001,29.66
2,21,,0.067148,0.107263,0.9397,0.937399,0.0386,0.001,29.64
2,22,,0.068197,0.096504,0.94694,0.94673,0.0334,0.001,29.62
2,23,,0.065651,0.102008,0.943995,0.942945,0.0353,0.001,29.64
2,24,,0.064171,0.098816,0.946157,0.947118,0.0334,0.001,29.61
2,25,,0.062634,0.094402,0.948799,0.94925,0.0318,0.001,29.61
2,26,,0.056675,0.102343,0.944649,0.945431,0.0341,0.001,29.63
2,27,,0.055503,0.097621,0.951625,0.95138,0.031,0.00075,29.64
2,28,,0.05128,0.099743,0.94855,0.947602,0.033,0.00075,29.65
2,29,,0.04736,0.089243,0.955382,0.955333,0.0281,0.00075,29.65
2,30,,0.046204,0.095149,0.948119,0.94747,0.0326,0.00075,29.64
3,1,,0.415969,0.388775,0.729294,0.746904,0.1737,0.001,29.71
3,2,,0.255357,0.239261,0.851496,0.855846,0.0921,0.001,29.63
3,3,,0.188887,0.168189,0.899706,0.903226,0.0624,0.001,29.61
3,4,,0.165881,0.310692,0.834396,0.827463,0.1063,0.001,29.65
3,5,,0.139175,0.141391,0.909623,0.913319,0.0533,0.001,29.66
3,6,,0.119919,0.114701,0.932717,0.932657,0.0425,0.001,29.65
3,7,,0.11134,0.119022,0.930383,0.929032,0.0451,0.001,29.66
3,8,,0.107097,0.108518,0.942818,0.941748,0.0372,0.001,29.63
3,9,,0.102411,0.124329,0.927352,0.928,0.0459,0.001,29.62
3,10,,0.096463,0.108323,0.936201,0.93617,0.0402,0.001,29.62
3,11,,0.089415,0.097915,0.947663,0.945117,0.0349,0.001,29.66
3,12,,0.089107,0.128234,0.924818,0.924032,0.0465,0.001,29.65
3,13,,0.087741,0.118296,0.932295,0.932336,0.0434,0.001,29.66
3,14,,0.08373,0.103751,0.943549,0.942522,0.0367,0.001,29.62
3,15,,0.081051,0.094946,0.946242,0.944304,0.0352,0.001,29.66
3,16,,0.080863,0.100794,0.945879,0.943284,0.0361,0.001,29.67
3,17,,0.075489,0.094545,0.948617,0.94604,0.0342,0.001,29.63
3,18,,0.075105,0.096915,0.945147,0.94313,0.0363,0.001,29.66
3,19,,0.068723,0.099248,0.945312,0.943803,0.036,0.001,29.63
3,20,,0.066513,0.111877,0.939692,0.939112,0.0392,0.001,29.63
3,21,,0.068477,0.108179,0.940422,0.93802,0.0402,0.001,29.62
3,22,,0.063416,0.112921,0.94268,0.940807,0.0377,0.001,29.65
3,23,,0.063589,0.171314,0.905852,0.90618,0.0586,0.001,29.67
3,24,,0.060387,0.112158,0.939341,0.936535,0.0407,0.001,29.63
3,25,,0.056222,0.09698,0.949052,0.948388,0.0325,0.001,29.62
3,26,,0.058778,0.1133,0.941487,0.940859,0.0372,0.001,29.65
3,27,,0.055952,0.095347,0.949288,0.946112,0.0343,0.00075,29.63
3,28,,0.047993,0.09715,0.952478,0.949647,0.0321,0.00075,29.64
3,29,,0.043469,0.097311,0.950924,0.947804,0.0328,0.00075,29.69
3,30,,0.04137,0.108963,0.942234,0.942202,0.0358,0.00075,29.61
4,1,,0.394888,0.275164,0.822764,0.828424,0.1101,0.001,29.62
4,2,,0.232168,0.222046,0.857459,0.86464,0.0846,0.001,29.63
4,3,,0.186136,0.174778,0.896879,0.904524,0.0593,0.001,29.64
4,4,,0.161633,0.172142,0.896964,0.902379,0.0595,0.001,29.66
4,5,,0.145702,0.155676,0.90894,0.915128,0.0547,0.001,29.66
4,6,,0.13843,0.22942,0.86963,0.868768,0.0787,0.001,29.67
4,7,,0.122748,0.129721,0.924609,0.926814,0.0461,0.001,29.7
4,8,,0.116116,0.129551,0.92572,0.927281,0.0463,0.001,29.68
4,9,,0.112169,0.124582,0.923713,0.929763,0.0438,0.001,29.62
4,10,,0.102186,0.136277,0.922387,0.921108,0.0487,0.001,29.67
4,11,,0.099103,0.134995,0.919995,0.923315,0.0495,0.001,29.65
4,12,,0.092596,0.109724,0.938872,0.938209,0.0387,0.001,29.63
4,13,,0.087833,0.116221,0.933452,0.933247,0.0412,0.001,29.62
4,14,,0.087158,0.130518,0.924177,0.925535,0.0452,0.001,29.65
4,15,,0.082511,0.108428,0.941042,0.93899,0.0384,0.001,29.67
4,16,,0.080653,0.11019,0.936219,0.9358,0.0406,0.001,29.64
4,17,,0.075886,0.110272,0.93812,0.935703,0.0398,0.001,29.65
4,18,,0.074342,0.109726,0.942765,0.940019,0.0372,0.001,29.67
4,19,,0.070495,0.1068,0.942305,0.940385,0.0372,0.001,29.68
4,20,,0.075084,0.105373,0.937897,0.938879,0.0385,0.001,29.66
4,21,,0.070722,0.121022,0.934704,0.929383,0.0429,0.001,29.64
4,22,,0.066693,0.12213,0.934017,0.933679,0.0409,0.001,29.69
4,23,,0.063024,0.116797,0.938597,0.933833,0.0406,0.001,29.66
4,24,,0.06209,0.095343,0.947167,0.945069,0.0347,0.001,29.66
4,25,,0.062149,0.098798,0.944477,0.942536,0.0363,0.001,29.65
4,26,,0.05513,0.113445,0.944625,0.938474,0.0383,0.001,29.67
4,27,,0.05791,0.101702,0.948298,0.9444,0.0347,0.00075,29.62
4,28,,0.050112,0.102164,0.948401,0.945304,0.0343,0.00075,29.68
4,29,,0.050678,0.092737,0.952485,0.949578,0.0317,0.00075,29.68
4,30,,0.044429,0.113844,0.944357,0.941517,0.0364,0.00075,29.63
5,1,,0.372195,0.249241,0.839503,0.841691,0.1045,0.001,29.66
5,2,,0.226081,0.209113,0.873981,0.873137,0.08,0.001,29.62
5,3,,0.18082,0.17648,0.89586,0.904678,0.0597,0.001,29.63
5,4,,0.164123,0.16096,0.906381,0.907985,0.059,0.001,29.68
5,5,,0.147313,0.159569,0.906067,0.90742,0.0564,0.001,29.62
5,6,,0.129484,0.141944,0.921467,0.920691,0.0491,0.001,29.63
5,7,,0.121415,0.112827,0.93685,0.938666,0.0388,0.001,29.67
5,8,,0.110888,0.149283,0.904077,0.906809,0.0557,0.001,29.65
5,9,,0.106618,0.205781,0.873902,0.87557,0.0791,0.001,29.67
5,10,,0.100745,0.109106,0.939061,0.938744,0.0394,0.001,29.63
5,11,,0.092385,0.139778,0.923035,0.919097,0.0491,0.001,29.66
5,12,,0.096098,0.09675,0.94407,0.943651,0.0351,0.001,29.65
5,13,,0.089203,0.099659,0.94489,0.943977,0.0353,0.001,29.66
5,14,,0.088892,0.122775,0.926175,0.926998,0.0444,0.001,29.62
5,15,,0.084377,0.098602,0.943159,0.943491,0.0359,0.001,29.66
5,16,,0.079833,0.101053,0.941938,0.94242,0.0365,0.001,29.63
5,17,,0.076002,0.107959,0.939901,0.939751,0.0378,0.001,29.65
5,18,,0.07071,0.111252,0.933267,0.932036,0.0419,0.001,29.63
5,19,,0.075682,0.099832,0.94605,0.946237,0.034,0.001,29.64
5,20,,0.070005,0.091474,0.950263,0.949008,0.0324,0.001,29.68
5,21,,0.067446,0.105851,0.94164,0.943587,0.0358,0.001,29.8
5,22,,0.063057,0.093568,0.949887,0.948473,0.0324,0.001,29.92
5,23,,0.061801,0.149601,0.911202,0.917122,0.0516,0.001,29.65
5,24,,0.060448,0.113518,0.935657,0.93736,0.0392,0.001,29.66
5,25,,0.059824,0.093518,0.95089,0.949239,0.032,0.001,29.62
5,26,,0.056182,0.105527,0.947551,0.946366,0.0338,0.001,29.65
5,27,,0.057853,0.106971,0.941869,0.940235,0.0366,0.00075,29.63
5,28,,0.048444,0.090946,0.953572,0.953474,0.0292,0.00075,29.64
5,29,,0.046707,0.09121,0.953381,0.952124,0.0302,0.00075,29.62
5,30,,0.044184,0.098278,0.948674,0.949153,0.0318,0.00075,29.64
