fold,class,precision,recall,f1,support
1,SPHSUR,0.9354518371400199,0.9701338825952626,0.9524772497472194,971
1,BOABIS,0.8493449781659389,0.9798488664987406,0.9099415204678363,794
1,BOAFAB,0.9954441913439636,0.9479392624728851,0.9711111111111111,461
1,DENMIN,0.9760191846522782,0.9271070615034168,0.9509345794392523,439
1,LEPPOD,0.925601750547046,0.9724137931034482,0.9484304932735426,435
2,SPHSUR,0.9741657696447793,0.9244126659856997,0.9486373165618449,979
2,BOABIS,0.9454545454545454,0.929757343550447,0.9375402446877013,783
2,BOAFAB,0.9954441913439636,0.9520697167755992,0.9732739420935412,459
2,DENMIN,0.9753694581280788,0.8665207877461707,0.9177288528389339,457
2,LEPPOD,0.9556451612903226,0.9713114754098361,0.9634146341463414,488
3,SPHSUR,0.9675732217573222,0.9477459016393442,0.9575569358178054,976
3,BOABIS,0.9257294429708223,0.8925831202046036,0.9088541666666666,782
3,BOAFAB,0.9880715705765407,0.9764243614931237,0.9822134387351779,509
3,DENMIN,0.9948979591836735,0.8315565031982942,0.9059233449477352,469
3,LEPPOD,0.9622641509433962,0.951048951048951,0.9566236811254396,429
4,SPHSUR,0.9259615384615385,0.9668674698795181,0.9459724950884086,996
4,BOABIS,0.9441489361702128,0.8754623921085081,0.90850927703135,811
4,BOAFAB,0.9879032258064516,0.9760956175298805,0.9819639278557114,502
4,DENMIN,0.9867724867724867,0.8838862559241706,0.9325,422
4,LEPPOD,0.9539951573849879,0.9516908212560387,0.9528415961305925,414
5,SPHSUR,0.954954954954955,0.9646107178968655,0.959758551307847,989
5,BOABIS,0.9236545682102628,0.9401273885350319,0.9318181818181818,785
5,BOAFAB,0.9613821138211383,0.9732510288065843,0.967280163599182,486
5,DENMIN,0.9923076923076923,0.8815489749430524,0.9336550060313631,439
5,LEPPOD,0.9719626168224299,0.930648769574944,0.9508571428571428,447
