fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,1,,0.39895,0.280715,0.820127,0.830567,0.1082,0.001,30.38
1,2,,0.234547,0.223154,0.852322,0.862696,0.0876,0.001,29.7
1,3,,0.185843,0.195125,0.863188,0.874558,0.0745,0.001,29.65
1,4,,0.170576,0.186485,0.870885,0.880038,0.0762,0.001,29.63
1,5,,0.156823,0.172106,0.885754,0.890562,0.0683,0.001,29.64
1,6,,0.147739,0.149304,0.903412,0.91138,0.0549,0.001,29.64
1,7,,0.140473,0.157291,0.897499,0.905558,0.0593,0.001,29.64
1,8,,0.139976,0.152963,0.896352,0.905226,0.0584,0.001,29.66
1,9,,0.131841,0.138921,0.908224,0.91521,0.0524,0.001,29.65
1,10,,0.125362,0.140348,0.905782,0.914982,0.053,0.001,29.62
1,11,,0.12325,0.132054,0.914371,0.921903,0.0481,0.001,29.64
1,12,,0.118326,0.130613,0.916723,0.923745,0.0474,0.001,29.66
1,13,,0.114453,0.12905,0.917011,0.922662,0.0487,0.001,29.66
1,14,,0.11025,0.123482,0.92089,0.926546,0.0456,0.001,29.67
1,15,,0.106103,0.116611,0.923451,0.928919,0.0438,0.001,29.68
1,16,,0.107485,0.165359,0.896136,0.903817,0.0577,0.001,29.63
1,17,,0.103494,0.11598,0.927308,0.931657,0.0424,0.001,29.66
1,18,,0.0974,0.124054,0.916602,0.921691,0.0478,0.001,29.66
1,19,,0.093114,0.128854,0.918086,0.925403,0.0454,0.001,29.65
1,20,,0.09316,0.125302,0.920341,0.923888,0.0462,0.001,29.69
1,21,,0.090885,0.119659,0.923338,0.926782,0.0456,0.001,29.61
1,22,,0.086692,0.116545,0.925204,0.930558,0.0427,0.001,29.65
1,23,,0.088511,0.119736,0.921303,0.924685,0.0454,0.001,29.7
1,24,,0.084039,0.102776,0.933259,0.935839,0.0396,0.001,29.67
1,25,,0.082329,0.10667,0.931527,0.935061,0.0401,0.001,29.66
1,26,,0.086695,0.102279,0.935525,0.937893,0.0385,0.001,29.66
1,27,,0.079322,0.18818,0.886585,0.893596,0.0633,0.00075,29.66
1,28,,0.074027,0.104301,0.932272,0.934498,0.0405,0.00075,29.67
1,29,,0.069403,0.101869,0.936613,0.938829,0.0374,0.00075,29.69
1,30,,0.066587,0.096057,0.940364,0.942592,0.0353,0.00075,29.65
2,1,,0.391848,0.322779,0.791388,0.804367,0.1344,0.001,29.7
2,2,,0.224613,0.191352,0.874604,0.883582,0.0741,0.001,29.62
2,3,,0.178474,0.27,0.824888,0.820779,0.1104,0.001,29.67
2,4,,0.167472,0.153587,0.902135,0.910162,0.0564,0.001,29.65
2,5,,0.152049,0.147045,0.909256,0.916773,0.0524,0.001,29.68
2,6,,0.148856,0.14581,0.90926,0.915062,0.0538,0.001,29.66
2,7,,0.136927,0.135492,0.913586,0.919261,0.0511,0.001,29.64
2,8,,0.13319,0.13522,0.916933,0.922348,0.0492,0.001,29.7
