fold,class,precision,recall,f1,support
1,SPHSUR,0.9385530227948464,0.9752832131822863,0.9565656565656566,971
1,BOABIS,0.9341772151898734,0.929471032745592,0.9318181818181818,794
1,BOAFAB,0.990909090909091,0.9457700650759219,0.9678135405105438,461
1,DENMIN,0.970074812967581,0.8861047835990888,0.9261904761904762,439
1,LEPPOD,0.9486552567237164,0.8919540229885058,0.919431279620853,435
2,SPHSUR,0.9655891553701773,0.9458631256384066,0.95562435500516,979
2,BOABIS,0.9536152796725784,0.89272030651341,0.9221635883905013,783
2,BOAFAB,0.9954022988505747,0.9433551198257081,0.9686800894854586,459
2,DENMIN,0.9851851851851852,0.8730853391684902,0.925754060324826,457
2,LEPPOD,0.9448979591836735,0.9487704918032787,0.9468302658486708,488
3,SPHSUR,0.9459459459459459,0.9682377049180327,0.9569620253164557,976
3,BOABIS,0.9254901960784314,0.9053708439897699,0.9153199741435035,782
3,BOAFAB,0.9979508196721312,0.9567779960707269,0.9769307923771314,509
3,DENMIN,0.9732360097323601,0.8528784648187633,0.9090909090909091,469
3,LEPPOD,0.9315068493150684,0.951048951048951,0.9411764705882353,429
4,SPHSUR,0.9309338521400778,0.9608433734939759,0.9456521739130435,996
4,BOABIS,0.913730255164034,0.9272503082614056,0.9204406364749081,811
4,BOAFAB,1.0,0.9462151394422311,0.9723643807574207,502
4,DENMIN,0.9942528735632183,0.8199052132701422,0.8987012987012987,422
4,LEPPOD,0.973753280839895,0.8961352657004831,0.9333333333333333,414
5,SPHSUR,0.9415708812260536,0.993933265925177,0.9670437776684703,989
5,BOABIS,0.945872801082544,0.8904458598726115,0.9173228346456693,785
5,BOAFAB,0.9978213507625272,0.9423868312757202,0.9693121693121693,486
5,DENMIN,0.9841688654353562,0.8496583143507973,0.9119804400977995,439
5,LEPPOD,0.9039665970772442,0.9686800894854586,0.9352051835853131,447
