fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,1,,0.346481,0.241657,0.845953,0.850622,0.1008,0.001,29.81
1,2,,0.213461,0.212873,0.856287,0.874782,0.0791,0.001,29.16
1,3,,0.15652,0.218497,0.848082,0.854468,0.0886,0.001,29.16
1,4,,0.130148,0.140841,0.920934,0.921456,0.0492,0.001,29.13
1,5,,0.122376,0.131613,0.926564,0.925818,0.0458,0.001,29.15
1,6,,0.107797,0.116017,0.937245,0.937193,0.0397,0.001,29.23
1,7,,0.103474,0.113886,0.935673,0.935236,0.0404,0.001,29.2
1,8,,0.096124,0.12826,0.93419,0.929915,0.0451,0.001,29.18
1,9,,0.093771,0.124241,0.925635,0.925057,0.046,0.001,29.21
1,10,,0.089265,0.157835,0.902429,0.901922,0.0592,0.001,29.21
1,11,,0.085308,0.106456,0.936153,0.934843,0.0397,0.001,29.23
1,12,,0.076944,0.104856,0.944388,0.943709,0.0353,0.001,29.22
1,13,,0.07736,0.102857,0.938278,0.937866,0.0382,0.001,29.19
1,14,,0.072844,0.105264,0.941575,0.943451,0.0351,0.001,29.18
1,15,,0.070036,0.130936,0.928154,0.930469,0.0437,0.001,29.2
1,16,,0.068596,0.11291,0.935502,0.935977,0.0394,0.001,29.2
1,17,,0.063334,0.101735,0.944847,0.944435,0.0345,0.001,29.2
1,18,,0.077328,0.227618,0.866399,0.871209,0.0845,0.001,29.24
1,19,,0.089101,0.106386,0.943672,0.943167,0.0356,0.001,29.2
1,20,,0.071095,0.11346,0.94309,0.942463,0.0363,0.001,29.18
1,21,,0.062816,0.110909,0.940981,0.940772,0.0362,0.001,29.24
1,22,,0.057745,0.109326,0.937701,0.940311,0.0365,0.001,29.21
1,23,,0.056146,0.097907,0.953029,0.951107,0.0307,0.001,29.19
1,24,,0.05281,0.097613,0.947164,0.944862,0.0345,0.001,29.2
1,25,,0.054097,0.103561,0.943163,0.938936,0.0372,0.001,29.21
1,26,,0.046234,0.101439,0.950545,0.948718,0.0316,0.001,29.21
1,27,,0.046719,0.10739,0.951331,0.951107,0.0307,0.00075,29.21
1,28,,0.039472,0.111958,0.95084,0.950489,0.0309,0.00075,29.22
1,29,,0.036493,0.113134,0.952911,0.950693,0.0306,0.00075,29.18
1,30,,0.034431,0.110118,0.95022,0.948882,0.032,0.00075,29.24
2,1,,0.339133,0.321784,0.806907,0.792481,0.1402,0.001,29.17
2,2,,0.195673,0.196217,0.885046,0.881696,0.072,0.001,29.19
2,3,,0.151245,0.131993,0.92891,0.931067,0.0438,0.001,29.24
