fold,class,precision,recall,f1,support
1,SPHSUR,0.9463019250253293,0.9618949536560247,0.9540347293156282,971
1,BOABIS,0.8947976878612717,0.9748110831234257,0.9330922242314648,794
1,BOAFAB,0.995475113122172,0.9544468546637744,0.9745293466223699,461
1,DENMIN,0.9594272076372315,0.9157175398633257,0.9370629370629371,439
1,LEPPOD,0.9395973154362416,0.9655172413793104,0.9523809523809523,435
2,SPHSUR,0.9562118126272913,0.9591419816138917,0.9576746557878634,979
2,BOABIS,0.9404915912031048,0.9284802043422733,0.9344473007712082,783
2,BOAFAB,0.9888143176733781,0.9629629629629629,0.9757174392935982,459
2,DENMIN,0.9950617283950617,0.8818380743982495,0.9350348027842227,457
2,LEPPOD,0.9786780383795309,0.9405737704918032,0.9592476489028213,488
3,SPHSUR,0.9615784008307373,0.9487704918032787,0.9551315110881898,976
3,BOABIS,0.920410783055199,0.9168797953964194,0.9186418962203715,782
3,BOAFAB,0.9979633401221996,0.962671905697446,0.98,509
3,DENMIN,0.9681818181818181,0.908315565031983,0.9372937293729373,469
3,LEPPOD,0.9783653846153846,0.9487179487179487,0.9633136094674556,429
4,SPHSUR,0.965270684371808,0.9487951807228916,0.9569620253164557,996
4,BOABIS,0.931930693069307,0.9284833538840938,0.9302038295243977,811
4,BOAFAB,0.9899396378269618,0.9800796812749004,0.984984984984985,502
4,DENMIN,0.9741602067183462,0.8933649289099526,0.9320148331273177,422
4,LEPPOD,0.9324009324009324,0.966183574879227,0.9489916963226572,414
5,SPHSUR,0.9686486486486486,0.9059656218402427,0.9362591431556949,989
5,BOABIS,0.9219765929778934,0.9031847133757962,0.9124839124839125,785
5,BOAFAB,0.989406779661017,0.9609053497942387,0.9749478079331941,486
5,DENMIN,0.9663461538461539,0.9157175398633257,0.9403508771929825,439
5,LEPPOD,0.922566371681416,0.9328859060402684,0.9276974416017798,447
