fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,1,,0.269585,0.194017,0.876864,0.882824,0.0717,0.001,63.48
1,2,,0.160537,0.190859,0.899504,0.901175,0.0631,0.001,62.59
1,3,,0.136512,0.147641,0.904948,0.915243,0.0516,0.001,62.59
1,4,,0.120339,0.160495,0.920813,0.919756,0.0513,0.001,62.6
1,5,,0.11223,0.125011,0.928245,0.929718,0.0451,0.001,62.61
1,6,,0.107598,0.119586,0.930529,0.928878,0.0447,0.001,62.6
1,7,,0.096809,0.129326,0.923457,0.925321,0.0466,0.001,62.59
1,8,,0.095253,0.222173,0.888012,0.889903,0.0724,0.001,62.6
1,9,,0.094116,0.188273,0.889465,0.889258,0.0666,0.001,62.62
1,10,,0.090579,0.247762,0.850925,0.858772,0.0867,0.001,62.62
1,11,,0.087297,0.119035,0.935855,0.933564,0.0423,0.001,62.58
1,12,,0.082174,0.108684,0.941878,0.941423,0.0363,0.001,62.58
1,13,,0.079871,0.119358,0.933802,0.933439,0.0419,0.001,62.55
1,14,,0.077801,0.114445,0.932501,0.931738,0.0428,0.001,62.57
1,15,,0.073579,0.11497,0.937044,0.937264,0.0398,0.001,62.59
1,16,,0.074497,0.127139,0.921478,0.921279,0.0485,0.001,62.59
1,17,,0.069523,0.109165,0.937307,0.938432,0.038,0.001,62.62
1,18,,0.068045,0.105987,0.941379,0.940558,0.0373,0.001,62.6
1,19,,0.065754,0.105671,0.940301,0.938442,0.0384,0.001,62.6
1,20,,0.063634,0.126252,0.928756,0.929408,0.0434,0.001,62.59
1,21,,0.064639,0.105571,0.943202,0.941063,0.0367,0.001,62.61
1,22,,0.06248,0.109432,0.941726,0.94333,0.0353,0.001,62.6
1,23,,0.058515,0.105027,0.942406,0.941913,0.0362,0.001,62.58
1,24,,0.060466,0.122766,0.936702,0.935948,0.0405,0.001,62.59
1,25,,0.054041,0.11212,0.93936,0.93953,0.0376,0.001,62.6
1,26,,0.054918,0.116586,0.944351,0.94345,0.0354,0.001,62.52
1,27,,0.052997,0.110841,0.939568,0.93956,0.0374,0.00075,62.5
1,28,,0.046059,0.103151,0.947898,0.947066,0.0332,0.00075,62.5
1,29,,0.043646,0.09913,0.951641,0.950862,0.0308,0.00075,62.51
1,30,,0.042552,0.100647,0.948256,0.948581,0.0317,0.00075,62.56
2,1,,0.272034,0.366718,0.753762,0.75207,0.1647,0.001,62.53
